"","X","id","landscape","position","row","column","initial.species","extinctions","distance2nonextinct","connectivity2nonextinct","n_extinctions","correlation","treatment_label","correlation_label","n_extinctions_label","extinction_label","treatment_label_bis","return_point","return_time","distance2extinct"
"153",153,153,10,9,3,1,"Col",TRUE,1,3,8,FALSE,3,"Dispersed extinctions","8 extinctions","Extinct patches","8 Dispersed",3,164.466666666667,0
"154",154,154,10,10,3,2,"Tet",FALSE,0,NA,8,FALSE,3,"Dispersed extinctions","8 extinctions","Non-extinct patches","8 Dispersed",0,0,1
"155",155,155,10,11,3,3,"Tet",TRUE,1,4,8,FALSE,3,"Dispersed extinctions","8 extinctions","Extinct patches","8 Dispersed",1,44.0875,0
"156",156,156,10,12,3,4,"Tet",FALSE,0,NA,8,FALSE,3,"Dispersed extinctions","8 extinctions","Non-extinct patches","8 Dispersed",0,0,1
"157",157,157,10,13,4,1,"Tet",FALSE,0,NA,8,FALSE,3,"Dispersed extinctions","8 extinctions","Non-extinct patches","8 Dispersed",0,0,1
"158",158,158,10,14,4,2,"Ble",TRUE,1,3,8,FALSE,3,"Dispersed extinctions","8 extinctions","Extinct patches","8 Dispersed",3,164.466666666667,0
"159",159,159,10,15,4,3,"Col",FALSE,0,NA,8,FALSE,3,"Dispersed extinctions","8 extinctions","Non-extinct patches","8 Dispersed",0,0,1
"160",160,160,10,16,4,4,"Col",TRUE,1,2,8,FALSE,3,"Dispersed extinctions","8 extinctions","Extinct patches","8 Dispersed",1,44.0875,0
"161",161,161,11,1,1,1,"Tet",TRUE,1,2,8,FALSE,3,"Dispersed extinctions","8 extinctions","Extinct patches","8 Dispersed",2,91.4583333333333,0
"162",162,162,11,2,1,2,"Ble",FALSE,0,NA,8,FALSE,3,"Dispersed extinctions","8 extinctions","Non-extinct patches","8 Dispersed",0,0,1
"163",163,163,11,3,1,3,"Col",TRUE,1,3,8,FALSE,3,"Dispersed extinctions","8 extinctions","Extinct patches","8 Dispersed",2,91.4583333333333,0
"164",164,164,11,4,1,4,"Col",FALSE,0,NA,8,FALSE,3,"Dispersed extinctions","8 extinctions","Non-extinct patches","8 Dispersed",0,0,1
"165",165,165,11,5,2,1,"Tet",FALSE,0,NA,8,FALSE,3,"Dispersed extinctions","8 extinctions","Non-extinct patches","8 Dispersed",0,0,1
"166",166,166,11,6,2,2,"Col",TRUE,1,4,8,FALSE,3,"Dispersed extinctions","8 extinctions","Extinct patches","8 Dispersed",1,44.0875,0
"167",167,167,11,7,2,3,"Tet",FALSE,0,NA,8,FALSE,3,"Dispersed extinctions","8 extinctions","Non-extinct patches","8 Dispersed",0,0,1
"168",168,168,11,8,2,4,"Tet",TRUE,1,3,8,FALSE,3,"Dispersed extinctions","8 extinctions","Extinct patches","8 Dispersed",2,91.4583333333333,0
"169",169,169,11,9,3,1,"Tet",TRUE,1,3,8,FALSE,3,"Dispersed extinctions","8 extinctions","Extinct patches","8 Dispersed",2,91.4583333333333,0
"170",170,170,11,10,3,2,"Ble",FALSE,0,NA,8,FALSE,3,"Dispersed extinctions","8 extinctions","Non-extinct patches","8 Dispersed",0,0,1
"171",171,171,11,11,3,3,"Ble",TRUE,1,4,8,FALSE,3,"Dispersed extinctions","8 extinctions","Extinct patches","8 Dispersed",3,164.466666666667,0
"172",172,172,11,12,3,4,"Tet",FALSE,0,NA,8,FALSE,3,"Dispersed extinctions","8 extinctions","Non-extinct patches","8 Dispersed",0,0,1
